Nome cientifico,Pagina Inicial,Pagina Final,Volume,Total de espécies
Centrolobium sclerophyllum,473,477,5,60
Sideroxylum obtusifolium,481,487,5,60
Sapindus saponaria,491,496,5,60
Croton urucurana,499,505,5,60
Lonchocarpus campestris,509,513,5,60
Pterodon pubescens,517,522,5,60
Piptadenia viridiflora,525,529,5,60
Vitex polygama,533,538,5,60
Picrasma crenata,541,545,5,60
Virola gardneri,549,554,5,60
Ilex brevicuspis,557,561,5,60
